Ms.Nr	Sample.Name	MS.ID	fibertype	phenotype	age	AgeGroup	ID
2	2091	QExHF06629	T2a	wt	21	21month	T2a_1
4	2569	QExHF06633	T1	wt	14	14month	T1_1
7	7425	QExHF06639	T2B	wt	4	4month	T2B_1
8	7423	QExHF06641	T2x	wt	4	4month	T2x_1
14	7437	QExHF06670	T1	wt	4	4month	T1_2
19	7431	QExHF06682	T2a	wt	4	4month	T2a_2
21	7431	QExHF06693	T1	wt	4	4month	T1_3
23	2570	QExHF06697	T1	wt	14	14month	T1_4
25	2652	QExHF06701	T2a	wt	13	14month	T2a_3
26	7425	QExHF06703	T1	wt	4	4month	T1_5
27	7423	QExHF06709_2	T1	wt	4	4month	T1_6
30	2699	QExHF06715	T2a	wt	11	11month	T2a_4
33	2091	QExHF06721	T1	wt	21	21month	T1_7
36	7435	QExHF06731	T2B	wt	4	4month	T2B_2
37	7425	QExHF06733	T2a	wt	4	4month	T2a_5
40	2570	QExHF06741	T2B	wt	14	14month	T2B_3
41	2652	QExHF06743	T2B	wt	14	14month	T2B_4
50	2520	QExHF06763	T2B	wt	14	14month	T2B_5
56	2572	QExHF06777	T2a	wt	14	14month	T2a_6
59	2091	QExHF06783	T2B	wt	21	21month	T2B_6
62	2090	QExHF06791	T1	wt	21	21month	T1_8
63	7435	QExHF06793	T2x	wt	3	4month	T2x_2
64	2569	QExHF06795	T2B	wt	14	14month	T2B_7
66	2090	QExHF06801	T2a	wt	21	21month	T2a_7
71	2697	QExHF06811	T1	wt	11	11month	T1_9
72	2699	QExHF06813	T2x	wt	11	11month	T2x_3
74	2699	QExHF06821	T2B	wt	11	11month	T2B_8
76	2572	QExHF06825	T1	wt	14	14month	T1_10
79	2572	QExHF06831	T2x	wt	14	14month	T2x_4
80	7437	QExHF06835	T2a	wt	4	4month	T2a_8
84	2697	QExHF06843	T2x	wt	11	11month	T2x_5
86	7435	QExHF06847	T1	wt	3	4month	T1_11
89	2696	QExHF06855	T2B	wt	11	11month	T2B_9
92	7437	QExHF06861	T2B	wt	4	4month	T2B_10
97	2652	QExHF06875	T1	wt	14	14month	T1_12
99	2091	QExHF06881	T2x	wt	21	21month	T2x_6
100	2696	QExHF06883	T2a	wt	11	11month	T2a_9
102	2520	QExHF06887	T1	wt	14	14month	T1_13
103	2652	QExHF06889	T2x	wt	14	14month	T2x_7
105	7431	QExHF06895	T2B	wt	4	4month	T2B_11
110	7423	QExHF06905	T2B	wt	4	4month	T2B_12
113	2520	QExHF06915	T2a	wt	14	14month	T2a_10
116	2572	QExHF06921	T2B	wt	14	14month	T2B_13
117	2090	QExHF06923	T2B	wt	21	21month	T2B_14
125	2569	QExHF06963	T2x	wt	14	14month	T2x_8
128	2090	QExHF06971	T2x	wt	21	21month	T2x_9
129	2569	QExHF06973	T2a	wt	14	14month	T2a_11
134	2697	QExHF06985	T2B	wt	11	11month	T2B_15
135	7437	QExHF06987	T2x	wt	3	4month	T2x_10
140	2696	QExHF06999	T2x	wt	11	11month	T2x_11
141	2520	QExHF07001	T2x	wt	14	14month	T2x_12
144	7425	QExHF07007	T2x	wt	4	4month	T2x_13
145	2696	QExHF07009	T1	wt	11	11month	T1_14
161	2570	QExHF07072	T2a	wt	14	14month	T2a_12
163	7423	QExHF07076	T2a	wt	4	4month	T2a_13
166	2699	QExHF07084	T1	wt	11	11month	T1_15
